run_id,real_time,sim_time,event,obj_type,obj_id,x_km,y_km,z_km,speed_ms,ref_type,ref_id,notes
20260312_170943,0.0,0.0,MISSILE_SPAWN,MISSILE,1,-35.6577,-21.7564,7.036,1637.8,,,init_spd=1631m/s
20260312_170943,2.584,3.876,RADAR_DETECT,MISSILE,1,-29.9628,-19.0128,6.384,1641.7,,,det_count=1
20260312_170943,2.605,3.907,RADAR_DETECT,MISSILE,1,-29.9164,-18.9904,6.3781,1641.7,,,det_count=2
20260312_170943,2.626,3.939,RADAR_DETECT,MISSILE,1,-29.8706,-18.9684,6.3722,1641.7,,,det_count=3
20260312_170943,2.647,3.97,RADAR_DETECT,MISSILE,1,-29.8245,-18.9462,6.3663,1641.8,,,det_count=4
20260312_170943,2.647,3.97,TRACKED,MISSILE,1,-29.8245,-18.9462,6.3663,1641.8,,,
20260312_170943,2.647,3.97,INTERCEPT_LOCKED,MISSILE,1,-29.8245,-18.9462,6.3663,1641.8,,,"ip=(-20.27,-14.35,4.94)"
20260312_170943,2.647,3.97,INTERCEPTOR_LAUNCH,INTERCEPTOR,1,0.0,0.0,0.02,4000.0,MISSILE,1,"ip=(-20.27,-14.35,4.94)"
20260312_170943,2.67,4.005,RADAR_DETECT,MISSILE,1,-29.7728,-18.9213,6.3597,1641.8,,,det_count=5
20260312_170943,2.694,4.041,RADAR_DETECT,MISSILE,1,-29.7205,-18.8961,6.353,1641.8,,,det_count=6
20260312_170943,5.648,8.472,INTERCEPTOR_LAUNCH,INTERCEPTOR,2,0.0,0.0,0.02,4000.0,MISSILE,1,"ip=(-20.27,-14.35,4.94)"
20260312_170943,6.565,9.847,RADAR_DETECT,MISSILE,1,-21.1887,-14.7857,5.0914,1649.4,,,det_count=7
20260312_170943,6.592,9.888,RADAR_DETECT,MISSILE,1,-21.1293,-14.7571,5.0814,1649.4,,,det_count=8
20260312_170943,6.619,9.928,RADAR_DETECT,MISSILE,1,-21.0699,-14.7285,5.0715,1649.5,,,det_count=9
20260312_170943,6.646,9.969,RADAR_DETECT,MISSILE,1,-21.01,-14.6996,5.0614,1649.5,,,det_count=10
20260312_170943,6.673,10.01,RADAR_DETECT,MISSILE,1,-20.9499,-14.6707,5.0513,1649.6,,,det_count=11
20260312_170943,6.781,10.172,KILL,INTERCEPTOR,1,-19.9959,-13.8549,4.7673,4000.0,MISSILE,1,
20260312_170943,6.781,10.172,INTERCEPTOR_MISS,INTERCEPTOR,2,-5.4908,-3.7989,1.3228,4000.0,MISSILE,1,
20260312_170943,20.016,30.024,MISSILE_SPAWN,MISSILE,2,-37.6102,-23.4051,7.7649,1549.4,,,init_spd=1544m/s
20260312_170943,22.581,33.871,RADAR_DETECT,MISSILE,2,-32.4727,-20.3381,7.1874,1553.0,,,det_count=1
20260312_170943,22.602,33.903,RADAR_DETECT,MISSILE,2,-32.431,-20.3132,7.1821,1553.1,,,det_count=2
20260312_170943,22.623,33.934,RADAR_DETECT,MISSILE,2,-32.389,-20.2881,7.1767,1553.1,,,det_count=3
20260312_170943,22.644,33.966,RADAR_DETECT,MISSILE,2,-32.3474,-20.2633,7.1714,1553.1,,,det_count=4
20260312_170943,22.644,33.966,TRACKED,MISSILE,2,-32.3474,-20.2633,7.1714,1553.1,,,
20260312_170943,22.644,33.966,INTERCEPT_LOCKED,MISSILE,2,-32.3474,-20.2633,7.1714,1553.1,,,"ip=(-23.07,-14.72,5.75)"
20260312_170943,22.644,33.966,INTERCEPTOR_LAUNCH,INTERCEPTOR,3,0.0,0.0,0.02,4000.0,MISSILE,2,"ip=(-23.07,-14.72,5.75)"
20260312_170943,22.667,34.0,RADAR_DETECT,MISSILE,2,-32.3016,-20.2359,7.1656,1553.2,,,det_count=5
20260312_170943,22.691,34.036,RADAR_DETECT,MISSILE,2,-32.2544,-20.2077,7.1596,1553.2,,,det_count=6
20260312_170943,25.664,38.496,INTERCEPTOR_LAUNCH,INTERCEPTOR,4,0.0,0.0,0.02,4000.0,MISSILE,2,"ip=(-23.07,-14.72,5.75)"
20260312_170943,26.586,39.879,RADAR_DETECT,MISSILE,2,-24.5084,-15.5835,6.0011,1560.5,,,det_count=7
20260312_170943,26.613,39.92,RADAR_DETECT,MISSILE,2,-24.4543,-15.5512,5.9918,1560.6,,,det_count=8
20260312_170943,26.64,39.96,RADAR_DETECT,MISSILE,2,-24.4008,-15.5193,5.9826,1560.6,,,det_count=9
20260312_170943,26.667,40.0,RADAR_DETECT,MISSILE,2,-24.3476,-15.4875,5.9735,1560.7,,,det_count=10
20260312_170943,26.694,40.041,RADAR_DETECT,MISSILE,2,-24.2939,-15.4555,5.9642,1560.7,,,det_count=11
20260312_170943,27.187,40.78,KILL,INTERCEPTOR,3,-22.5191,-14.3293,5.5296,4000.0,MISSILE,2,
20260312_170943,27.187,40.78,INTERCEPTOR_MISS,INTERCEPTOR,4,-7.5529,-4.8016,1.8609,4000.0,MISSILE,2,
20260312_170943,40.03,60.046,MISSILE_SPAWN,MISSILE,3,-5.2038,-49.2723,6.2535,2204.2,,,init_spd=2198m/s
20260312_170943,41.997,62.995,RADAR_DETECT,MISSILE,3,-3.8081,-42.8662,5.7119,2206.6,,,det_count=1
20260312_170943,42.02,63.031,RADAR_DETECT,MISSILE,3,-3.7913,-42.7891,5.7049,2206.6,,,det_count=2
20260312_170943,42.044,63.067,RADAR_DETECT,MISSILE,3,-3.7744,-42.7117,5.6978,2206.6,,,det_count=3
20260312_170943,42.068,63.103,RADAR_DETECT,MISSILE,3,-3.7577,-42.6346,5.6907,2206.7,,,det_count=4
20260312_170943,42.068,63.103,TRACKED,MISSILE,3,-3.7577,-42.6346,5.6907,2206.7,,,
20260312_170943,42.068,63.103,INTERCEPT_LOCKED,MISSILE,3,-3.7577,-42.6346,5.6907,2206.7,,,"ip=(-0.48,-27.60,4.07)"
20260312_170943,42.068,63.103,INTERCEPTOR_LAUNCH,INTERCEPTOR,5,0.0,0.0,0.02,4000.0,MISSILE,3,"ip=(-0.48,-27.60,4.07)"
20260312_170943,42.095,63.142,RADAR_DETECT,MISSILE,3,-3.7392,-42.5497,5.6829,2206.7,,,det_count=5
20260312_170943,42.121,63.181,RADAR_DETECT,MISSILE,3,-3.7209,-42.4659,5.6752,2206.7,,,det_count=6
20260312_170943,45.071,67.607,INTERCEPTOR_LAUNCH,INTERCEPTOR,6,0.0,0.0,0.02,4000.0,MISSILE,3,"ip=(-0.48,-27.60,4.07)"
20260312_170943,45.973,68.96,RADAR_DETECT,MISSILE,3,-1.0173,-30.0567,4.3674,2212.5,,,det_count=7
20260312_170943,46.005,69.008,RADAR_DETECT,MISSILE,3,-0.9948,-29.9538,4.3552,2212.6,,,det_count=8
20260312_170943,46.036,69.054,RADAR_DETECT,MISSILE,3,-0.9732,-29.8543,4.3434,2212.6,,,det_count=9
20260312_170943,46.067,69.101,RADAR_DETECT,MISSILE,3,-0.9513,-29.7539,4.3314,2212.7,,,det_count=10
20260312_170943,46.62,69.93,KILL,INTERCEPTOR,5,-0.8214,-26.9584,3.9256,4000.0,MISSILE,3,
20260312_170943,46.62,69.93,INTERCEPTOR_MISS,INTERCEPTOR,6,-0.3099,-9.1901,1.3488,4000.0,MISSILE,3,
20260312_170943,60.032,90.047,MISSILE_SPAWN,MISSILE,4,31.7386,-30.2213,12.9329,1043.2,,,init_spd=1038m/s
20260312_170943,61.434,92.152,RADAR_DETECT,MISSILE,4,30.1219,-28.7024,12.6977,1045.4,,,det_count=1
20260312_170943,61.458,92.186,RADAR_DETECT,MISSILE,4,30.0955,-28.6776,12.6935,1045.5,,,det_count=2
20260312_170943,61.481,92.221,RADAR_DETECT,MISSILE,4,30.069,-28.6527,12.6893,1045.5,,,det_count=3
20260312_170943,61.504,92.257,RADAR_DETECT,MISSILE,4,30.0424,-28.6278,12.685,1045.5,,,det_count=4
20260312_170943,61.504,92.257,TRACKED,MISSILE,4,30.0424,-28.6278,12.685,1045.5,,,
20260312_170943,61.504,92.257,INTERCEPT_LOCKED,MISSILE,4,30.0424,-28.6278,12.685,1045.5,,,"ip=(23.23,-22.23,11.19)"
20260312_170943,61.504,92.257,INTERCEPTOR_LAUNCH,INTERCEPTOR,7,0.0,0.0,0.02,4000.0,MISSILE,4,"ip=(23.23,-22.23,11.19)"
20260312_170943,61.531,92.297,RADAR_DETECT,MISSILE,4,30.0121,-28.5992,12.6801,1045.6,,,det_count=5
20260312_170943,64.532,96.798,INTERCEPTOR_LAUNCH,INTERCEPTOR,8,0.0,0.0,0.02,4000.0,MISSILE,4,"ip=(23.23,-22.23,11.19)"
20260312_170943,65.435,98.152,RADAR_DETECT,MISSILE,4,25.5805,-24.4357,11.7977,1053.8,,,det_count=6
20260312_170943,65.466,98.198,RADAR_DETECT,MISSILE,4,25.5454,-24.4027,11.7894,1053.9,,,det_count=7
20260312_170943,65.497,98.245,RADAR_DETECT,MISSILE,4,25.5103,-24.3697,11.781,1054.0,,,det_count=8
20260312_170943,65.527,98.291,RADAR_DETECT,MISSILE,4,25.4754,-24.337,11.7727,1054.1,,,det_count=9
20260312_170943,67.107,100.66,KILL,INTERCEPTOR,7,22.9852,-21.9764,10.863,4000.0,MISSILE,4,
20260312_170943,67.107,100.66,INTERCEPTOR_MISS,INTERCEPTOR,8,10.582,-10.1135,4.9595,4000.0,MISSILE,4,
