run_id,real_time,sim_time,obj_type,obj_id,x_km,y_km,z_km,speed_ms,status
20260312_170943,0.013,0.02,MISSILE,1,-35.6288,-21.7425,7.033,1637.8,undetected
20260312_170943,0.526,0.789,MISSILE,1,-34.4981,-21.1977,6.9151,1638.5,undetected
20260312_170943,1.037,1.556,MISSILE,1,-33.3712,-20.6549,6.7919,1639.2,undetected
20260312_170943,1.549,2.324,MISSILE,1,-32.2428,-20.1112,6.6627,1640.0,undetected
20260312_170943,2.058,3.086,MISSILE,1,-31.1227,-19.5716,6.5287,1640.8,undetected
20260312_170943,2.563,3.845,MISSILE,1,-30.0089,-19.035,6.3899,1641.6,undetected
20260312_170943,3.065,4.598,MISSILE,1,-28.9018,-18.5017,6.2463,1642.5,tracked
20260312_170943,3.065,4.598,INTERCEPTOR,1,-2.0839,-1.3293,0.4664,4000.0,target=1
20260312_170943,3.566,5.348,MISSILE,1,-27.7991,-17.9704,6.0977,1643.4,tracked
20260312_170943,3.566,5.348,INTERCEPTOR,1,-4.5668,-2.9281,1.0061,4000.0,target=1
20260312_170943,4.084,6.126,MISSILE,1,-26.6572,-17.4203,5.938,1644.3,tracked
20260312_170943,4.084,6.126,INTERCEPTOR,1,-7.127,-4.5976,1.5729,4000.0,target=1
20260312_170943,4.598,6.896,MISSILE,1,-25.5245,-16.8746,5.7738,1645.3,tracked
20260312_170943,4.598,6.896,INTERCEPTOR,1,-9.6534,-6.2709,2.1442,4000.0,target=1
20260312_170943,5.112,7.667,MISSILE,1,-24.3918,-16.3289,5.6038,1646.3,tracked
20260312_170943,5.112,7.667,INTERCEPTOR,1,-12.1622,-7.9666,2.7263,4000.0,target=1
20260312_170943,5.622,8.433,MISSILE,1,-23.2662,-15.7866,5.429,1647.3,tracked
20260312_170943,5.622,8.433,INTERCEPTOR,1,-14.631,-9.6825,3.3182,4000.0,target=1
20260312_170943,6.142,9.213,MISSILE,1,-22.1215,-15.2351,5.2454,1648.4,tracked
20260312_170943,6.142,9.213,INTERCEPTOR,1,-17.1017,-11.4769,3.9402,4000.0,target=1
20260312_170943,6.142,9.213,INTERCEPTOR,2,-2.4018,-1.6433,0.5834,4000.0,target=1
20260312_170943,6.646,9.969,MISSILE,1,-21.01,-14.6996,5.0614,1649.5,tracked
20260312_170943,6.646,9.969,INTERCEPTOR,1,-19.4152,-13.318,4.5806,4000.0,target=1
20260312_170943,6.646,9.969,INTERCEPTOR,2,-4.8391,-3.3395,1.1653,4000.0,target=1
20260312_170943,20.342,30.514,MISSILE,2,-36.9235,-22.9951,7.6962,1549.8,undetected
20260312_170943,20.863,31.294,MISSILE,2,-35.8894,-22.3778,7.5878,1550.5,undetected
20260312_170943,21.363,32.044,MISSILE,2,-34.8944,-21.7838,7.4779,1551.2,undetected
20260312_170943,21.868,32.801,MISSILE,2,-33.8908,-21.1847,7.3615,1551.9,undetected
20260312_170943,22.371,33.556,MISSILE,2,-32.8907,-20.5876,7.2398,1552.7,undetected
20260312_170943,22.877,34.315,MISSILE,2,-31.8844,-19.9868,7.1118,1553.5,tracked
20260312_170943,22.877,34.315,INTERCEPTOR,3,-1.1635,-0.7291,0.2781,4000.0,target=2
20260312_170943,23.396,35.094,MISSILE,2,-30.8521,-19.3706,6.9746,1554.4,tracked
20260312_170943,23.396,35.094,INTERCEPTOR,3,-3.7556,-2.3554,0.859,4000.0,target=2
20260312_170943,23.905,35.858,MISSILE,2,-29.8386,-18.7656,6.8342,1555.3,tracked
20260312_170943,23.905,35.858,INTERCEPTOR,3,-6.2979,-3.9535,1.4375,4000.0,target=2
20260312_170943,24.407,36.61,MISSILE,2,-28.8412,-18.1701,6.6903,1556.2,tracked
20260312_170943,24.407,36.61,INTERCEPTOR,3,-8.7968,-5.5278,2.0154,4000.0,target=2
20260312_170943,24.922,37.383,MISSILE,2,-27.8169,-17.5586,6.5368,1557.1,tracked
20260312_170943,24.922,37.383,INTERCEPTOR,3,-11.3597,-7.1467,2.6195,4000.0,target=2
20260312_170943,25.434,38.151,MISSILE,2,-26.7996,-16.9513,6.3786,1558.1,tracked
20260312_170943,25.434,38.151,INTERCEPTOR,3,-13.9,-8.7571,3.2317,4000.0,target=2
20260312_170943,25.949,38.923,MISSILE,2,-25.7755,-16.34,6.2135,1559.2,tracked
20260312_170943,25.949,38.923,INTERCEPTOR,3,-16.4509,-10.3822,3.8641,4000.0,target=2
20260312_170943,25.949,38.923,INTERCEPTOR,4,-1.4144,-0.8961,0.3588,4000.0,target=2
